character_1,character_2,count
Major Perry Rhodan,Major Perry Rhodan,2
Captain Reginald Bull,Major Perry Rhodan,2
Captain Clark G. Flipper,Major Perry Rhodan,1
Dr. Eric Manoli,Major Perry Rhodan,2
General Lesly Pounder,Major Perry Rhodan,2
Dr. Fleeps,Major Perry Rhodan,1
Allan D. Mercant,Major Perry Rhodan,1
Captain  Clark G. Flipper,Major Perry Rhodan,1
Major Perry Rhodan,Captain Reginald Bull,2
Captain Reginald Bull,Captain Reginald Bull,2
Captain Clark G. Flipper,Captain Reginald Bull,1
Dr. Eric Manoli,Captain Reginald Bull,2
General Lesly Pounder,Captain Reginald Bull,2
Dr. Fleeps,Captain Reginald Bull,1
Allan D. Mercant,Captain Reginald Bull,1
Captain  Clark G. Flipper,Captain Reginald Bull,1
Major Perry Rhodan,Captain Clark G. Flipper,1
Captain Reginald Bull,Captain Clark G. Flipper,1
Captain Clark G. Flipper,Captain Clark G. Flipper,1
Dr. Eric Manoli,Captain Clark G. Flipper,1
General Lesly Pounder,Captain Clark G. Flipper,1
Dr. Fleeps,Captain Clark G. Flipper,1
Major Perry Rhodan,Dr. Eric Manoli,2
Captain Reginald Bull,Dr. Eric Manoli,2
Captain Clark G. Flipper,Dr. Eric Manoli,1
Dr. Eric Manoli,Dr. Eric Manoli,4
General Lesly Pounder,Dr. Eric Manoli,2
Dr. Fleeps,Dr. Eric Manoli,1
Perry Rhodan,Dr. Eric Manoli,2
Crest,Dr. Eric Manoli,2
Thora,Dr. Eric Manoli,2
Allan D. Mercant,Dr. Eric Manoli,1
Captain  Clark G. Flipper,Dr. Eric Manoli,1
Reginald Bull genannt „Bully“,Dr. Eric Manoli,2
Dr. Frank M. Haggard,Dr. Eric Manoli,2
Major Perry Rhodan,General Lesly Pounder,2
Captain Reginald Bull,General Lesly Pounder,2
Captain Clark G. Flipper,General Lesly Pounder,1
Dr. Eric Manoli,General Lesly Pounder,2
General Lesly Pounder,General Lesly Pounder,2
Dr. Fleeps,General Lesly Pounder,1
Allan D. Mercant,General Lesly Pounder,1
Captain  Clark G. Flipper,General Lesly Pounder,1
Major Perry Rhodan,Dr. Fleeps,1
Captain Reginald Bull,Dr. Fleeps,1
Captain Clark G. Flipper,Dr. Fleeps,1
Dr. Eric Manoli,Dr. Fleeps,1
General Lesly Pounder,Dr. Fleeps,1
Dr. Fleeps,Dr. Fleeps,1
Dr. Eric Manoli,Perry Rhodan,2
Perry Rhodan,Perry Rhodan,1324
Reginald Bull,Perry Rhodan,191
Crest,Perry Rhodan,18
Thora,Perry Rhodan,22
Betty Toufry,Perry Rhodan,14
Tako Kakuta,Perry Rhodan,31
Leutnant Brazo Alkher,Perry Rhodan,1
Dr. Arno Kalup,Perry Rhodan,1
Oberst Jefe Claudrin,Perry Rhodan,4
Gucky,Perry Rhodan,339
ES,Perry Rhodan,13
Carfesch,Perry Rhodan,5
Berritz,Perry Rhodan,1
Charruta,Perry Rhodan,1
Jynker Rook,Perry Rhodan,1
Surfo Mallagan,Perry Rhodan,2
Douc Langur,Perry Rhodan,4
Pygros Hammlon,Perry Rhodan,1
Derral Smago,Perry Rhodan,1
Robert W. G. Aerts,Perry Rhodan,2
Quiupu,Perry Rhodan,7
Alja Symens,Perry Rhodan,1
John Nack,Perry Rhodan,1
Narom Kensaler,Perry Rhodan,1
Olaf Porand,Perry Rhodan,1
Captain Samuel Graybound,Perry Rhodan,1
Rex Knatterbull,Perry Rhodan,1
Oberst Ludwig Rammbüggl,Perry Rhodan,1
Torero,Perry Rhodan,1
Henry Smith,Perry Rhodan,1
Adelaie,Perry Rhodan,1
Mortimer Skand,Perry Rhodan,1
Marcel Boulmeester,Perry Rhodan,1
Bruke Tosen,Perry Rhodan,1
Fellmer Lloyd,Perry Rhodan,36
Nike Quinto,Perry Rhodan,2
Ron Landry,Perry Rhodan,1
Larry Randall,Perry Rhodan,1
Jen Salik,Perry Rhodan,12
Quiryleinen,Perry Rhodan,1
Icho Tolot,Perry Rhodan,101
Arger Staball,Perry Rhodan,1
Galgan Maresch,Perry Rhodan,1
Thoxhar,Perry Rhodan,1
Dareena,Perry Rhodan,1
Eiling,Perry Rhodan,1
Beneder,Perry Rhodan,1
Kyrr,Perry Rhodan,1
Marlett Berga,Perry Rhodan,1
Anny Vorscheyn,Perry Rhodan,1
Leutnant Harald Fitzgerald,Perry Rhodan,1
Walt Ballin,Perry Rhodan,1
Jeff Garibaldi,Perry Rhodan,1
Vu-Pooh,Perry Rhodan,1
Geoffry Abel Waringer,Perry Rhodan,12
Achmed Presley Hawk,Perry Rhodan,1
