series,author,gender,author_pos,release_year,character_pos,maincharacter_name
Band 1,K. H. Scheer,male,a1,1961.0,C1,Major Perry Rhodan
Band 1,K. H. Scheer,male,a1,1961.0,C2,Captain Reginald Bull
Band 1,K. H. Scheer,male,a1,1961.0,C3,Captain Clark G. Flipper
Band 1,K. H. Scheer,male,a1,1961.0,C4,Dr. Eric Manoli
Band 1,K. H. Scheer,male,a1,1961.0,C5,General Lesly Pounder
Band 1,K. H. Scheer,male,a1,1961.0,C6,Dr. Fleeps
Band 10,K. H. Scheer,male,a1,1961.0,C1,Perry Rhodan
Band 10,K. H. Scheer,male,a1,1961.0,C2,Reginald Bull
Band 10,K. H. Scheer,male,a1,1961.0,C3,Crest
Band 10,K. H. Scheer,male,a1,1961.0,C4,Thora
Band 10,K. H. Scheer,male,a1,1961.0,C5,Betty Toufry
Band 10,K. H. Scheer,male,a1,1961.0,C6,Tako Kakuta
Band 100,K. H. Scheer,male,a1,1963.0,C1,Perry Rhodan
Band 100,K. H. Scheer,male,a1,1963.0,C2,Leutnant Brazo Alkher
Band 100,K. H. Scheer,male,a1,1963.0,C3,Dr. Arno Kalup
Band 100,K. H. Scheer,male,a1,1963.0,C4,Oberst Jefe Claudrin
Band 100,K. H. Scheer,male,a1,1963.0,C5,Reginald Bull
Band 100,K. H. Scheer,male,a1,1963.0,C6,Gucky
Band 1000,William Voltz,male,a1,1980.0,C1,ES
Band 1000,William Voltz,male,a1,1980.0,C2,Carfesch
Band 1000,William Voltz,male,a1,1980.0,C3,Berritz
Band 1000,William Voltz,male,a1,1980.0,C4,Charruta
Band 1000,William Voltz,male,a1,1980.0,C5,Jynker Rook
Band 1000,William Voltz,male,a1,1980.0,C6,Perry Rhodan
Band 1001,Marianne Sydow,female,a1,1980.0,C1,Claude St. Vain
Band 1001,Marianne Sydow,female,a1,1980.0,C2,Jörg Breiskoll
Band 1001,Marianne Sydow,female,a1,1980.0,C3,Lerana Forrun
Band 1001,Marianne Sydow,female,a1,1980.0,C4,Djin Dokkar
Band 1001,Marianne Sydow,female,a1,1980.0,C5,Surfo Mallagan
Band 1001,Marianne Sydow,female,a1,1980.0,C6,Brether Faddon
Band 1002,Marianne Sydow,female,a1,1980.0,C1,Surfo Mallagan
Band 1002,Marianne Sydow,female,a1,1980.0,C2,Brether Faddon
Band 1002,Marianne Sydow,female,a1,1980.0,C3,Scoutie
Band 1002,Marianne Sydow,female,a1,1980.0,C4,Doc Ming
Band 1002,Marianne Sydow,female,a1,1980.0,C5,St. Vain
Band 1002,Marianne Sydow,female,a1,1980.0,C6,Douc Langur
Band 1003,Peter Terrid,male,a1,1980.0,C1,Surfo Mallagan
Band 1003,Peter Terrid,male,a1,1980.0,C2,Brether Faddon
Band 1003,Peter Terrid,male,a1,1980.0,C3,Scoutie
Band 1003,Peter Terrid,male,a1,1980.0,C4,Sunthosser
Band 1003,Peter Terrid,male,a1,1980.0,C5,Czyk
Band 1003,Peter Terrid,male,a1,1980.0,C6,Callza
Band 1004,Kurt Mahr,male,a1,1980.0,C1,Surfo Mallagan
Band 1004,Kurt Mahr,male,a1,1980.0,C2,Brether Faddon
Band 1004,Kurt Mahr,male,a1,1980.0,C3,Scoutie
Band 1004,Kurt Mahr,male,a1,1980.0,C4,Kullmytzer
Band 1004,Kurt Mahr,male,a1,1980.0,C5,Glas
Band 1004,Kurt Mahr,male,a1,1980.0,C6,1-Rot
Band 1005,Kurt Mahr,male,a1,1980.0,C1,Surfo Mallagan
Band 1005,Kurt Mahr,male,a1,1980.0,C2,Brether Faddon
Band 1005,Kurt Mahr,male,a1,1980.0,C3,Scoutie
Band 1005,Kurt Mahr,male,a1,1980.0,C4,Kullmytzer
Band 1005,Kurt Mahr,male,a1,1980.0,C5,Dabonudzer
Band 1005,Kurt Mahr,male,a1,1980.0,C6,3-Marli
Band 1006,Clark Darlton,male,a1,1980.0,C1,Surfo Mallagan
Band 1006,Clark Darlton,male,a1,1980.0,C2,Brether Faddon
Band 1006,Clark Darlton,male,a1,1980.0,C3,Scoutie
Band 1006,Clark Darlton,male,a1,1980.0,C4,Certhaytlin
Band 1006,Clark Darlton,male,a1,1980.0,C5,Lordos
Band 1006,Clark Darlton,male,a1,1980.0,C6,Drampier
Band 1007,William Voltz,male,a1,1980.0,C1,Perry Rhodan
Band 1007,William Voltz,male,a1,1980.0,C2,Pygros Hammlon
Band 1007,William Voltz,male,a1,1980.0,C3,Derral Smago
Band 1007,William Voltz,male,a1,1980.0,C4,Robert W. G. Aerts
Band 1007,William Voltz,male,a1,1980.0,C5,Quiupu
Band 1008,Ernst Vlcek,male,a1,1980.0,C1,Alja Symens
Band 1008,Ernst Vlcek,male,a1,1980.0,C2,Kredo Harven
Band 1008,Ernst Vlcek,male,a1,1980.0,C3,Jost Governor
Band 1008,Ernst Vlcek,male,a1,1980.0,C4,John Nack
Band 1008,Ernst Vlcek,male,a1,1980.0,C5,Mimi
Band 1008,Ernst Vlcek,male,a1,1980.0,C6,Albert
Band 1009,Ernst Vlcek,male,a1,1980.0,C1,Perry Rhodan
Band 1009,Ernst Vlcek,male,a1,1980.0,C2,Robert W. G. Aerts
Band 1009,Ernst Vlcek,male,a1,1980.0,C3,John Nack
Band 1009,Ernst Vlcek,male,a1,1980.0,C4,Narom Kensaler
Band 1009,Ernst Vlcek,male,a1,1980.0,C5,Olaf Porand
Band 1009,Ernst Vlcek,male,a1,1980.0,C6,Alja Symens
Band 101,Clark Darlton,male,a1,1963.0,C1,Captain Samuel Graybound
Band 101,Clark Darlton,male,a1,1963.0,C2,Rex Knatterbull
Band 101,Clark Darlton,male,a1,1963.0,C3,Oberst Ludwig Rammbüggl
Band 101,Clark Darlton,male,a1,1963.0,C4,Torero
Band 101,Clark Darlton,male,a1,1963.0,C5,Henry Smith
Band 101,Clark Darlton,male,a1,1963.0,C6,Perry Rhodan
Band 1010,Peter Griese,male,a1,1980.0,C1,Adelaie
Band 1010,Peter Griese,male,a1,1980.0,C2,Mortimer Skand
Band 1010,Peter Griese,male,a1,1980.0,C3,Marcel Boulmeester
Band 1010,Peter Griese,male,a1,1980.0,C4,Quiupu
Band 1010,Peter Griese,male,a1,1980.0,C5,Perry Rhodan
Band 1011,Peter Griese,male,a1,1981.0,C1,Marcel Boulmeester
Band 1011,Peter Griese,male,a1,1981.0,C2,Der Fünfte Bote
Band 1011,Peter Griese,male,a1,1981.0,C3,Adelaie
Band 1011,Peter Griese,male,a1,1981.0,C4,Mortimer Skand
Band 1011,Peter Griese,male,a1,1981.0,C5,Quiupu
Band 1011,Peter Griese,male,a1,1981.0,C6,Deininger
Band 1012,H. G. Francis,male,a1,1981.0,C1,Bruke Tosen
Band 1012,H. G. Francis,male,a1,1981.0,C2,Amby Törn
Band 1012,H. G. Francis,male,a1,1981.0,C3,Xingar
Band 1012,H. G. Francis,male,a1,1981.0,C4,Gruude Vern
Band 1012,H. G. Francis,male,a1,1981.0,C5,Fellmer Lloyd
Band 1013,H. G. Ewers,male,a1,1981.0,C1,Surfo Mallagan
Band 1013,H. G. Ewers,male,a1,1981.0,C2,Brether Faddon
Band 1013,H. G. Ewers,male,a1,1981.0,C3,Scoutie
Band 1013,H. G. Ewers,male,a1,1981.0,C4,Daccsier
Band 1013,H. G. Ewers,male,a1,1981.0,C5,Sudha
