series,season,title,subtitle,title_pic,inbound_ill,release,maincharacters,eventtimeframe,locations,release_year,author_pos,author,gender
Band 1,Die Dritte Macht,Unternehmen „Stardust“,Sie kamen aus den Tiefen der Galaxis - nie hatte man mit ihnen gerechnet ...,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 8. September 1961","Major Perry Rhodan, Captain Reginald Bull, Captain Clark G. Flipper, Dr. Eric Manoli, General Lesly Pounder, Dr. Fleeps, Allan D. Mercant, Crest, Thora, Professor Lehmann",Juni – Juli 1971,"Terra, Luna",1961.0,a1,K. H. Scheer,male
Band 10,Die Dritte Macht,Raumschlacht im Wega-Sektor,Die Strukturtaster melden das Auftauchen einer großen Flotte – das ist der Anfang eines interstellaren Krieges,Johnny Bruck,Johnny Bruck (3 x),"Freitag, 10. November 1961","Perry Rhodan, Reginald Bull, Crest, Thora, Betty Toufry, Tako Kakuta, John Marshall, Chaktor, Thort",Mai 1975,"Wega, Rofus",1961.0,a1,K. H. Scheer,male
Band 100,Die Posbis,Der Zielstern,Eine neue Epoche der Weltraumfahrt bricht an – und Forschungskreuzer FANTASY geht auf große Fahrt …,Johnny Bruck,Johnny Bruck,"Freitag, 2. August 1963","Perry Rhodan, Leutnant Brazo Alkher, Dr. Arno Kalup, Oberst Jefe Claudrin, Reginald Bull, Gucky, Auris von Las-Toór",2102,"Luna, FANTASY, Blaues System",1963.0,a1,K. H. Scheer,male
Band 1000,Die Kosmische Hanse,Der Terraner,Die kosmische Bestimmung der Menschheit,Johnny Bruck,Themistokles Kanellakis (3 x)  → Innenillustrationen,"Dienstag, 21. Oktober 1980","ES, Carfesch, Berritz, Charruta, Jynker Rook, Perry Rhodan, Reginald Bull","Jahrmillionen, 1 NGZ","Terra, Wanderer, EDEN II",1980.0,a1,William Voltz,male
Band 1001,Die Kosmische Hanse,Die Jäger von Chircool,Sie leben auf der Dschungelwelt – und warten auf die Rückkehr der SOL,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 28. Oktober 1980","Claude St. Vain, Jörg Breiskoll, Lerana Forrun, Djin Dokkar, Surfo Mallagan, Brether Faddon, Scoutie, Doc Ming",424 NGZ (343 Herzog Lugos),Vayquost,1980.0,a1,Marianne Sydow,female
Band 1002,Die Kosmische Hanse,Das weiße Schiff,Fremde auf der Dschungelwelt – die Jagd auf die Betschiden beginnt,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 4. November 1980","Surfo Mallagan, Brether Faddon, Scoutie, Doc Ming, St. Vain, Douc Langur",424 NGZ,Vayquost,1980.0,a1,Marianne Sydow,female
Band 1003,Die Kosmische Hanse,Neulinge an Bord,Drei Betschiden – auf einem Schiff der Achten Flotte,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 11. November 1980","Surfo Mallagan, Brether Faddon, Scoutie, Sunthosser, Czyk, Callza",424 NGZ,ARSALOM,1980.0,a1,Peter Terrid,male
Band 1004,Die Kosmische Hanse,Die Stufen der Erkenntnis,Drei Rekruten auf Prüfpunkt 1 – im Psychotest,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 18. November 1980","Surfo Mallagan, Brether Faddon, Scoutie, Kullmytzer, Glas, 1-Rot, 2-Herri, 4-Barra",424 NGZ,Prüfpunkt 1,1980.0,a1,Kurt Mahr,male
Band 1005,Die Kosmische Hanse,Todesfahrt nach Felloy,Überlebenschance null – drei Betschiden auf dem Flug ins Ungewisse,Johnny Bruck,Themistokles Kanellakis (1 x),"Dienstag, 25. November 1980","Surfo Mallagan, Brether Faddon, Scoutie, Kullmytzer, Dabonudzer, 3-Marli",424 NGZ,Prüfpunkt-1,1980.0,a1,Kurt Mahr,male
Band 1006,Die Kosmische Hanse,Die Falle von Cratcan,Der Marsch durch die Wüste – das Mordkommando sorgt für Gefahren,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 2. Dezember 1980","Surfo Mallagan, Brether Faddon, Scoutie, Certhaytlin, Lordos, Drampier",424 NGZ,Cratcan,1980.0,a1,Clark Darlton,male
