series,author,gender,author_pos,release_year,location_pos,location_name
Band 1,K. H. Scheer,male,a1,1961.0,l1,Terra
Band 1,K. H. Scheer,male,a1,1961.0,l2,Luna
Band 10,K. H. Scheer,male,a1,1961.0,l1,Wega
Band 10,K. H. Scheer,male,a1,1961.0,l2,Rofus
Band 100,K. H. Scheer,male,a1,1963.0,l1,Luna
Band 100,K. H. Scheer,male,a1,1963.0,l2,FANTASY
Band 100,K. H. Scheer,male,a1,1963.0,l3,Blaues System
Band 1000,William Voltz,male,a1,1980.0,l1,Terra
Band 1000,William Voltz,male,a1,1980.0,l2,Wanderer
Band 1000,William Voltz,male,a1,1980.0,l3,EDEN II
Band 1001,Marianne Sydow,female,a1,1980.0,l1,Vayquost
Band 1002,Marianne Sydow,female,a1,1980.0,l1,Vayquost
Band 1003,Peter Terrid,male,a1,1980.0,l1,ARSALOM
Band 1004,Kurt Mahr,male,a1,1980.0,l1,Prüfpunkt 1
Band 1005,Kurt Mahr,male,a1,1980.0,l1,Prüfpunkt-1
Band 1006,Clark Darlton,male,a1,1980.0,l1,Cratcan
Band 1007,William Voltz,male,a1,1980.0,l1,Terrania
Band 1007,William Voltz,male,a1,1980.0,l2,Wega-System
Band 1008,Ernst Vlcek,male,a1,1980.0,l1,Mardi-Gras
Band 1009,Ernst Vlcek,male,a1,1980.0,l1,Mardi-Gras
Band 101,Clark Darlton,male,a1,1963.0,l1,Terra
Band 101,Clark Darlton,male,a1,1963.0,l2,Plasmaplanet
Band 1010,Peter Griese,male,a1,1980.0,l1,Terrania
Band 1011,Peter Griese,male,a1,1981.0,l1,Terra
Band 1011,Peter Griese,male,a1,1981.0,l2,OUTPOST-4271
Band 1012,H. G. Francis,male,a1,1981.0,l1,Jarvith-Jarv
Band 1013,H. G. Ewers,male,a1,1981.0,l1,Nest der 17. Flotte
Band 1014,H. G. Ewers,male,a1,1981.0,l1,Kranenfalle
Band 1015,Marianne Sydow,female,a1,1981.0,l1,Kranenfalle
Band 1016,Clark Darlton,male,a1,1981.0,l1,Nest der 17. Flotte
Band 1017,Kurt Mahr,male,a1,1981.0,l1,Keryan
Band 1018,Kurt Mahr,male,a1,1981.0,l1,Keryan
Band 1019,Hans Kneifel,male,a1,1981.0,l1,Keryan
Band 102,Kurt Mahr,male,a1,1963.0,l1,Ghama
Band 102,Kurt Mahr,male,a1,1963.0,l2,Terra
Band 102,Kurt Mahr,male,a1,1963.0,l3,CAROLINA
Band 102,Kurt Mahr,male,a1,1963.0,l4,CAROLINA II
Band 102,Kurt Mahr,male,a1,1963.0,l5,ROYAL IRISH und URANIA
Band 1020,William Voltz,male,a1,1981.0,l1,Khrat
Band 1020,William Voltz,male,a1,1981.0,l2,Terra
Band 1021,H. G. Francis,male,a1,1981.0,l1,Terra
Band 1022,Ernst Vlcek,male,a1,1981.0,l1,Arxisto
Band 1023,Peter Terrid,male,a1,1981.0,l1,Arx-System
Band 1024,H. G. Francis,male,a1,1981.0,l1,Arx-System
Band 1025,Marianne Sydow,female,a1,1981.0,l1,MARSAGAN
Band 1025,Marianne Sydow,female,a1,1981.0,l2,Couhrs
Band 1026,Marianne Sydow,female,a1,1981.0,l1,Couhrs
Band 1027,William Voltz,male,a1,1981.0,l1,Couhrs
Band 1028,Clark Darlton,male,a1,1981.0,l1,Couhrs
Band 1029,Kurt Mahr,male,a1,1981.0,l1,Herzogtum von Krandhor
Band 103,Kurt Brand,male,a1,1963.0,l1,Beteigeuze
Band 103,Kurt Brand,male,a1,1963.0,l2,Erde
Band 1030,Kurt Mahr,male,a1,1981.0,l1,Herzogtum von Krandhor
Band 1031,H. G. Ewers,male,a1,1981.0,l1,Milchstraße
Band 1032,Peter Griese,male,a1,1981.0,l1,Terra
Band 1033,Peter Griese,male,a1,1981.0,l1,Milchstraße
Band 1034,H. G. Francis,male,a1,1981.0,l1,Milchstraße
Band 1035,William Voltz,male,a1,1981.0,l1,Terra
Band 1036,Peter Terrid,male,a1,1981.0,l1,Berogan-Sektor
Band 1037,Peter Terrid,male,a1,1981.0,l1,Kran
Band 1037,Peter Terrid,male,a1,1981.0,l2,SOL
Band 1038,Hans Kneifel,male,a1,1981.0,l1,Kran
Band 1039,Kurt Mahr,male,a1,1981.0,l1,Kran
Band 104,William Voltz,male,a1,1963.0,l1,Alazes Planet
Band 1040,Kurt Mahr,male,a1,1981.0,l1,Kran
Band 1041,William Voltz,male,a1,1981.0,l1,Kran
Band 1042,H. G. Ewers,male,a1,1981.0,l1,Solsystem
Band 1043,H. G. Ewers,male,a1,1981.0,l1,Solsystem
Band 1043,H. G. Ewers,male,a1,1981.0,l2,M 19
Band 1044,H. G. Francis,male,a1,1981.0,l1,BASIS
Band 1045,Peter Griese,male,a1,1981.0,l1,Lokvorth
Band 1046,Clark Darlton,male,a1,1981.0,l1,Wega-Sektor
Band 1047,H. G. Francis,male,a1,1981.0,l1,Hundertsonnenwelt
Band 1048,William Voltz,male,a1,1981.0,l1,Kran
Band 1049,Kurt Mahr,male,a1,1981.0,l1,Krandhor
Band 105,Clark Darlton,male,a1,1963.0,l1,Arkon III
Band 105,Clark Darlton,male,a1,1963.0,l2,Erde
Band 1050,Kurt Mahr,male,a1,1981.0,l1,Ursuf
Band 1051,Ernst Vlcek,male,a1,1981.0,l1,Spoodie-Schlacke
Band 1052,Peter Griese,male,a1,1981.0,l1,Chircool
Band 1053,Peter Griese,male,a1,1981.0,l1,SOL
Band 1054,H. G. Ewers,male,a1,1981.0,l1,Milchstraße
Band 1054,H. G. Ewers,male,a1,1981.0,l2,Norgan-Tur (Khrat)
Band 1055,H. G. Ewers,male,a1,1981.0,l1,Khrat
Band 1056,William Voltz,male,a1,1981.0,l1,Khrat
Band 1057,H. G. Francis,male,a1,1981.0,l1,Lookout-Station
Band 1058,Kurt Mahr,male,a1,1981.0,l1,M 3
Band 1059,Kurt Mahr,male,a1,1981.0,l1,EMschen
Band 106,Kurt Mahr,male,a1,1963.0,l1,Passa
Band 1060,Clark Darlton,male,a1,1981.0,l1,Vulkan
Band 1061,H. G. Ewers,male,a1,1981.0,l1,Xerasch u. a.
Band 1062,H. G. Ewers,male,a1,1981.0,l1,M 3
Band 1063,Detlev G. Winter,male,a1,1982.0,l1,M 3
Band 1064,Clark Darlton,male,a1,1982.0,l1,M 3
Band 1065,Peter Griese,male,a1,1982.0,l1,Lokvorth
Band 1066,Ernst Vlcek,male,a1,1982.0,l1,SOL
Band 1067,H. G. Francis,male,a1,1982.0,l1,Prototyp eines Kreuzers der STAR-Klasse von Hans Knößlsdorfer(Abbildung)
Band 1068,Kurt Mahr,male,a1,1982.0,l1,EMschen
Band 1069,H. G. Ewers,male,a1,1982.0,l1,Impuls II
Band 1069,H. G. Ewers,male,a1,1982.0,l2,M 3
Band 107,K. H. Scheer,male,a1,1963.0,l1,Arkon
Band 107,K. H. Scheer,male,a1,1963.0,l2,Blaues System
Band 1070,William Voltz,male,a1,1982.0,l1,M 3
Band 1071,Marianne Sydow,female,a1,1982.0,l1,Orsafal
Band 1072,Ernst Vlcek,male,a1,1982.0,l1,Milchstraße
Band 1072,Ernst Vlcek,male,a1,1982.0,l2,SOL
Band 1073,H. G. Francis,male,a1,1982.0,l1,Frostrubin
Band 1074,K. H. Scheer,male,a1,1982.0,l1,M 3
Band 1075,Marianne Sydow,female,a1,1982.0,l1,Fünf-Planeten-Anlage
Band 1076,Horst Hoffmann,male,a1,1982.0,l1,Fünf-Planeten-Anlage
